emotion,brief,colors
joyful energetic,vibrant celebration mood,"#FFD700,#FFA500,#FF4500,#FF6B6B,#FFB6C1"
peaceful serene,tranquil meditation space,"#E0FFFF,#B0E0E6,#87CEEB,#ADD8E6,#F0F8FF"
romantic loving,intimate warm atmosphere,"#FF1493,#FF69B4,#FFB6C1,#FFC0CB,#FFE4E1"
confident professional,corporate trustworthy image,"#000080,#483D8B,#4B0082,#2F4F4F,#708090"
innovative creative,modern tech forward,"#00CED1,#4682B4,#9370DB,#20B2AA,#48D1CC"
luxurious premium,high end sophisticated,"#800080,#4B0082,#483D8B,#FFD700,#C0C0C0"
natural organic,eco friendly sustainable,"#228B22,#32CD32,#90EE90,#98FB98,#F5DEB3"
fresh spring,new beginning growth,"#98FB98,#90EE90,#00FA9A,#3CB371,#2E8B57"
earthy grounded,natural rustic feel,"#8B4513,#A0522D,#6B4423,#8B7355,#CD853F"
mysterious dramatic,enigmatic intense mood,"#2F4F4F,#483D8B,#4B0082,#800080,#8B4513"
nostalgic vintage,retro classic style,"#DEB887,#D2B48C,#BC8F8F,#F4A460,#DAA520"
playful whimsical,fun imaginative spirit,"#FF69B4,#00CED1,#FFD700,#FF6347,#98FB98"
clean minimal,simple modern aesthetic,"#F0FFFF,#E0FFFF,#FFFFFF,#F5FFFA,#F0F8FF"
bold impactful,strong statement design,"#FF0000,#000000,#FFD700,#4B0082,#800080"
subtle elegant,refined understated look,"#F5F5F5,#E8E8E8,#DCDCDC,#D3D3D3,#C0C0C0"
